Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Tech Support,Churn Value,Bank transfer (automatic),Credit card (automatic),Mailed check
1,0,0,0,-1.2367242199587352,1,0,0,1,0,0,1
0,0,0,1,-1.2367242199587352,1,0,0,1,0,0,0
0,0,0,1,-0.9924020376385531,1,1,0,1,0,0,0
0,0,1,1,-0.1779947632379461,1,1,1,1,0,0,0
1,0,0,1,0.6771328748826912,1,1,0,1,1,0,0
0,0,1,0,-0.9109613101984924,1,0,1,1,0,1,0
1,1,0,0,-1.2774445836787656,0,0,0,1,0,0,0
1,0,0,0,-1.2774445836787656,1,0,0,1,0,0,1
1,0,1,1,0.5956921474426305,1,1,0,1,0,0,0
1,0,1,0,-1.2774445836787656,0,0,0,1,0,0,0
0,0,0,0,-0.62591876415828,1,0,0,1,0,0,1
1,0,0,1,-1.1145631287986442,1,0,0,1,0,0,0
1,0,0,1,0.06632741908223598,1,1,0,1,0,0,0
0,0,0,1,-0.8702409464784621,1,1,0,1,1,0,0
0,0,0,1,-1.2367242199587352,1,0,0,1,0,0,0
0,0,0,1,-0.7073594915983407,1,0,0,1,0,1,0
0,1,1,1,-0.9924020376385531,1,1,0,1,0,1,0
1,1,0,1,-0.5851984004382496,1,1,0,1,0,0,0
0,0,0,1,-0.9516816739185228,1,1,0,1,0,0,0
0,0,0,1,-1.2774445836787656,1,0,0,1,0,0,0
0,0,1,1,-1.0331224013585834,1,0,0,1,1,0,0
0,0,0,1,-0.8295205827584317,1,1,0,1,0,0,0
1,0,0,0,-1.1145631287986442,1,0,0,1,0,0,1
0,1,1,1,-0.30015585439803716,1,0,0,1,0,0,0
1,0,1,0,1.4508197855632678,1,1,1,1,1,0,0
1,0,1,1,0.9214550572028734,1,1,0,1,0,0,0
0,1,1,1,0.18848851024232702,1,1,0,1,0,0,0
0,0,1,1,-0.9109613101984924,1,1,0,1,0,0,0
1,0,0,1,-1.1960038562387048,1,1,0,1,0,0,0
0,1,0,1,-0.21871512695797646,1,1,0,1,0,0,0
0,0,1,0,-0.30015585439803716,0,0,0,1,0,1,0
1,0,0,0,-1.2774445836787656,0,0,0,1,0,0,0
1,0,0,0,-1.2367242199587352,1,0,0,1,0,0,0
0,1,1,1,-1.2774445836787656,1,0,0,1,0,0,1
0,0,0,0,-0.9924020376385531,1,1,1,1,0,0,0
1,0,0,0,-1.2774445836787656,1,0,0,1,0,0,0
1,0,0,1,-1.0331224013585834,1,1,0,1,0,0,1
0,0,1,1,-0.5037576729981889,1,1,0,1,0,0,0
0,0,0,1,-1.1552834925186746,1,0,0,1,1,0,0
1,1,1,0,1.0436161483629645,0,0,0,1,0,0,0
0,0,1,1,-1.2367242199587352,1,1,1,1,0,0,0
0,0,1,0,0.8400143297628127,1,0,0,1,1,0,0
0,1,0,1,-0.7073594915983407,1,1,0,1,0,0,1
0,1,0,1,-1.0331224013585834,1,0,0,1,1,0,0
0,0,0,0,-1.2774445836787656,0,0,0,1,1,0,0
1,0,0,1,-0.9924020376385531,1,1,0,1,1,0,0
0,0,0,1,-0.7888002190384014,1,0,0,1,0,0,0
0,0,1,0,-1.2774445836787656,0,0,0,1,0,0,0
1,0,1,1,-1.0738427650786138,1,0,0,1,0,0,0
1,0,0,1,-1.2774445836787656,1,0,0,1,0,0,0
0,0,0,1,-0.5444780367182193,1,0,1,1,0,0,0
1,0,0,0,-1.2367242199587352,1,0,0,1,0,1,0
0,0,0,1,-1.1552834925186746,1,0,0,1,0,0,0
1,0,1,0,-1.1552834925186746,1,0,1,1,0,0,1
0,0,1,0,-1.2774445836787656,1,0,0,1,0,0,1
1,0,0,1,-1.2774445836787656,1,0,0,1,0,0,1
1,0,0,0,-1.2367242199587352,1,1,0,1,0,0,1
0,1,0,1,-0.8702409464784621,1,0,0,1,0,0,0
1,1,0,0,-0.7073594915983407,1,0,0,1,0,0,0
1,0,0,0,-1.2774445836787656,1,0,0,1,0,0,1
0,0,1,0,-1.2367242199587352,1,0,0,1,0,0,0
1,1,1,0,-1.2774445836787656,0,0,0,1,0,0,0
0,0,1,0,-1.2367242199587352,1,0,0,1,0,1,0
1,1,0,0,-1.1960038562387048,0,0,0,1,0,0,0
1,1,0,0,-0.7888002190384014,1,1,0,1,0,0,0
1,0,0,0,1.0843365120829946,1,0,0,1,0,0,1
0,1,0,0,-0.6666391278783103,1,0,1,1,0,0,0
1,0,0,0,-1.2774445836787656,0,0,0,1,1,0,0
1,0,0,0,-1.2774445836787656,1,0,0,1,0,0,1
1,0,1,0,-1.1145631287986442,1,1,1,1,0,0,0
0,0,1,0,0.7992939660427822,1,1,0,1,0,0,0
1,0,1,0,-0.5851984004382496,1,0,0,1,0,0,1
1,0,1,0,-1.2774445836787656,1,0,0,1,0,0,0
1,1,0,0,-0.9924020376385531,1,0,0,1,0,0,0
1,0,0,0,-0.9109613101984924,1,0,0,1,0,1,0
1,1,0,0,-0.3408762181180675,1,1,0,1,0,0,0
0,0,0,0,-1.2774445836787656,1,0,0,1,0,0,1
0,1,0,0,-1.1552834925186746,1,1,0,1,0,0,0
1,1,1,0,-0.015113308357824713,1,1,0,1,0,0,0
1,0,0,0,-1.1145631287986442,1,0,0,1,0,0,0
0,0,1,0,0.22920887396235737,1,0,1,1,0,1,0
1,1,1,0,-0.3408762181180675,1,0,0,1,0,0,0
0,1,0,0,0.880734693482843,1,1,1,1,1,0,0
0,1,0,0,-1.2367242199587352,1,0,0,1,0,0,0
0,0,0,0,-1.0331224013585834,1,1,0,1,0,0,0
0,0,0,0,-1.2367242199587352,1,1,0,1,0,0,1
1,0,1,0,1.4508197855632678,1,1,1,1,1,0,0
0,0,0,0,0.43281069256250915,1,1,0,1,0,0,0
1,0,1,0,1.247217966963116,1,1,0,1,0,0,0
0,0,0,0,-1.2367242199587352,1,0,0,1,0,0,0
1,0,1,0,-1.1552834925186746,1,1,0,1,1,0,0
0,1,0,0,-0.46303730927815856,0,0,0,1,0,0,0
0,0,0,0,-0.9109613101984924,1,0,0,1,1,0,0
